Date,Open,High,Low,Close,Change,Rate,Volume,Amount
2016/5/20,3047.78,3078.53,3041.52,3078.22,15.72,0.51,560808.42,6512425.11
2016/5/23,3078.52,3098.48,3076.5,3087.22,9,0.29,596972.16,7033751.45
2016/5/24,3083.24,3083.26,3052.59,3063.56,-23.67,-0.77,587343.85,6110601.54
2016/5/25,3079.75,3089.1,3054.87,3059.23,-4.33,-0.14,566528.03,6331656.25
2016/5/26,3056.6,3072.52,3027.44,3064.21,4.99,0.16,603929.81,6598518.39
2016/5/27,3059.73,3073.76,3052.18,3062.5,-1.71,-0.06,604687.5,5937177.71
2016/5/30,3056.31,3075.26,3037.66,3066.71,4.21,0.14,630985.79,6349656.5
2016/5/31,3068.6,3170.93,3068.6,3169.56,102.85,3.35,1388631.11,15139817.6
2016/6/1,3172.96,3181.79,3159.82,3160.55,-9.01,-0.28,1131484.82,13170082.12
2016/6/2,3158.03,3168.82,3151.07,3167.1,6.55,0.21,860034.27,9709362.53
2016/6/3,3172.95,3201.75,3162.09,3189.33,22.23,0.7,1014917.83,13633202.71
2016/6/6,3192.78,3197.22,3168.55,3178.79,-10.54,-0.33,766937.51,10117623.14
2016/6/7,3182.44,3186.62,3168.18,3177.05,-1.73,-0.05,689283.14,8871161.84
2016/6/8,3171.81,3174.97,3148.35,3163.99,-13.07,-0.41,762917.75,9768279.09
2016/6/13,3134.05,3145.61,3065.77,3066.34,-97.65,-3.09,929759.47,11409132
2016/6/14,3058.44,3078.75,3055.66,3075.98,9.64,0.31,662794.57,7862230.54
2016/6/15,3043.96,3128.67,3042.23,3116.37,40.38,1.31,873932.57,10617017.79
2016/6/16,3104.36,3112.48,3089.48,3094.67,-21.69,-0.7,829747.03,9349623.89
2016/6/17,3096.09,3131.05,3096.09,3110.36,15.68,0.51,854029.85,9795338.93
2016/6/20,3114.91,3118.73,3089.71,3112.67,2.32,0.07,635871.41,7464780.25
2016/6/21,3124.9,3155.49,3097.94,3106.32,-6.36,-0.2,879653.45,10723364.36
2016/6/22,3100.45,3134.06,3096.99,3133.96,27.64,0.89,664871.13,8134871.58
2016/6/23,3129.72,3129.72,3102.48,3117.32,-16.64,-0.53,677517.38,8173255.22
2016/6/24,3110.65,3130.54,3033.97,3077.16,-40.16,-1.29,1047922.08,11896744.17
2016/6/27,3065.13,3120.64,3064.97,3120.54,43.39,1.41,832672.59,10406608.38
2016/6/28,3107.4,3139.43,3099.7,3136.4,15.86,0.51,920246.37,11719779.15
2016/6/29,3142.48,3158.08,3139.13,3151.39,14.99,0.48,1037236.68,11795886.12
2016/6/30,3152.83,3163.72,3148.2,3153.92,2.53,0.08,796926.17,10062791.29
2016/7/1,3156.93,3170.26,3148.29,3154.2,0.28,0.01,717462.83,9121502.77
2016/7/4,3136.39,3210.6,3134.02,3204.7,50.5,1.6,1333105.29,14989478
2016/7/5,3199.16,3216.7,3198,3207.38,2.69,0.08,1302268.95,14389910.04
2016/7/6,3197.62,3217.52,3183.45,3216.8,9.42,0.29,1248974.58,14723247.15
2016/7/7,3206.55,3220.54,3190.12,3209.95,-6.85,-0.21,1185952.02,14048883.37
2016/7/8,3199.75,3204.93,3183.96,3192.28,-17.67,-0.55,897348.55,11106346.54
2016/7/11,3199.04,3235.96,3197.63,3203.33,11.05,0.35,1385295.11,15528815.17
2016/7/12,3201.91,3273.47,3200.3,3273.18,69.85,2.18,1725342.17,19085373.89
